Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
0,38.65029278,7.547520661,1219.008264,42.97520661,1.787462687,63.76551724,0.132575004,0,,20.69243696,32,1
3,47.87085231,8.415289256,2892.561983,33.05785124,1.497313433,62.44137931,0.13741977,0.399628003,,24.18925571,32,1
0,38.59518543,7.490702479,1143.250689,30.5785124,1.706865672,64.31724138,0.132575004,0,,21.85701264,33,1
3,49.47085231,8.095041322,2293.38843,50.41322314,1.631641791,59.95862069,0.148768936,0.260075367,,21.31520686,33,1
0,38.42973325,7.506198347,1253.443526,40.49586777,1.757014925,63.71034483,0.132575004,0,,21.03280733,34,1
3,48.47774886,8.291322314,2692.837466,50.41322314,1.536716418,62.77241379,0.136001496,0.336194987,,23.69397011,34,1
0,45.29695024,6.720848057,595.6241956,77.41935484,1.808798646,57.90039063,0.132575004,0,,18.5675246,35,1
0,42.3434992,6.716431095,466.457529,70.96774194,1.83248731,57.16796875,0.132575004,0,,18.09566402,36,1
0,41.76565008,6.716431095,174.7908623,73.5483871,1.873096447,57.75390625,0.132575004,0,,17.88479482,37,1
0,45.2293578,6.726605505,592.1568627,77.32463295,1.8,57.96330275,0.132575004,0,,18.6785585,38,1
0,41.88990826,6.732110092,164.7058824,72.43066884,1.870588235,57.88990826,0.132575004,0,,17.95094851,39,1
0,41.11926606,6.56146789,168.627451,36.21533442,1.862745098,57.81651376,0.132575004,0,,18.00367689,40,1
0,7.816793893,7.809154807,2621.212121,335.8511113,2.779878971,50.62290909,0.2,0,,10.56291899,41,1
4,31.63358779,7.657498419,2045.454545,175.1481798,2.360060514,47.11221818,0.214219918,0.005692251,,11.57905594,41,1
5,41.89312977,7.611559433,1939.393939,132.7004173,2.253403933,46.2032,0.217901861,0.005836525,,11.8931185,41,1
0,7.816793893,7.575567021,1651.515152,357.0311415,2.598335855,50.62290909,0.2,0,,11.30093953,42,1
0,7.816793893,7.781673891,2242.424242,332.8253926,2.680030257,50.40349091,0.2,0,,10.90896775,43,1
4,44.33587786,7.50176773,2878.787879,184.2216814,2.2397882,48.14661818,0.209100934,0.005705367,,12.46871143,43,1
0,7.816793893,7.754203972,2136.363636,347.9539857,2.680030257,51.75134545,0.2,0,,11.20068766,44,1
0,7.816793893,7.690070837,1606.060606,369.1340159,2.680030257,52.44094545,0.2,0,,11.3499397,45,1
4,49.09923664,7.442225745,2469.69697,193.3024915,2.516641452,49.24370909,0.213445332,0.005711925,,11.349903,45,1
1,25.93951094,7.042402827,22.52252252,39.20308483,1.864151969,78.14249364,0.35,0.00098602,,24.06584849,46,1
3,48.07593308,8.643109541,328.8288288,25.06426735,1.734166658,75.49618321,0.392374854,0.542355689,,25.34239284,46,1
