Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
24,33.17073171,8.236363636,2888.888889,1104.67706,2.03030303,52.71995414,0.901926038,3.655763706,,15.0618008,13,3
29,23.19290466,8.127272727,2784.313725,1501.113586,2.06969697,52.21769989,0.911507166,3.841649997,,14.63435927,13,3
34,16.98447894,8.118181818,2771.24183,1719.376392,2.089393939,52.06702362,0.914381504,3.924266126,,14.45456945,13,3
19,43.2594235,7.963636364,3241.830065,752.7839644,2.040909091,51.01730974,0.895072514,3.10218852,,14.49962038,14,3
24,33.3924612,7.818181818,2784.313725,1033.407572,2.060606061,50.66980292,0.90142259,3.245052465,,14.26320029,14,3
29,25.29933481,7.754545455,2562.091503,1331.848552,2.089393939,50.17336462,0.910494127,3.30627987,,13.92886193,14,3
34,20.86474501,7.709090909,2326.797386,1728.285078,2.1,50.02443313,0.913215588,3.34709814,,13.8173774,14,3
14,49.46784922,8.427272727,3947.712418,592.4276169,1.971212121,52.92179872,0.828181685,2.389390412,,15.57270204,15,3
19,41.92904656,7.718181818,3738.562092,708.2405345,1.989393939,52.57836307,0.834223274,2.794371837,,15.33024194,15,3
24,33.50332594,7.654545455,2888.888889,1109.131403,2.031818182,52.28398965,0.839401778,2.915866265,,14.92610926,15,3
29,25.07760532,7.527272727,2771.24183,1510.022272,2.040909091,51.89149176,0.846306451,2.976613479,,14.74807149,15,3
34,19.53436807,7.427272727,2627.45098,1648.106904,2.08030303,51.49899387,0.853211123,2.99686255,,14.3593533,15,3
14,48.02660754,8.218181818,4640.522876,583.518931,1.959090909,52.58533621,0.796002325,2.288264069,,15.56943326,16,3
19,40.15521064,7.663636364,4039.215686,761.6926503,1.95,52.39141364,0.799257918,2.686223037,,15.58433388,16,3
24,32.172949,7.554545455,3281.045752,1314.03118,1.990909091,52.14901043,0.803327408,2.785712779,,15.19348427,16,3
29,26.29711752,7.463636364,2862.745098,1527.839644,2.039393939,51.95508786,0.806583001,2.825508676,,14.77711652,16,3
34,20.53215078,7.381818182,2784.313725,1657.01559,2.06969697,51.7611653,0.809838593,2.865304573,,14.5064124,16,3
21,41.97802198,8.235656616,92.97912713,18.46153846,1.878651685,68.76363636,0.149965188,1.585644372,,21.23123743,17,3
28,29.61538462,8.354605932,59.77229602,85.38461538,1.95505618,67.2,0.157472176,1.618270799,,19.93759501,17,3
36,25.49450549,8.202504196,26.5654649,163.8461538,1.978651685,65.6,0.165153746,1.628058728,,19.23079457,17,3
45,24.94505495,8.267620646,13.28273245,296.9230769,1.979775281,65.49090909,0.165677489,1.634584013,,19.18791828,17,3
21,31.53846154,7.89208924,332.0683112,146.9230769,1.905617978,68.72727273,0.157535817,1.168026101,,20.91972675,18,3
28,26.86813187,8.26419024,192.5996205,233.8461538,1.951685393,67.63636364,0.163031252,1.187601958,,20.10171804,18,3
36,25.67765568,8.301961457,86.33776091,286.1538462,1.979775281,66.8,0.167244419,1.194127243,,19.57146356,18,3
45,25.03663004,8.376119476,39.84819734,370.7692308,1.991011236,66,0.171274405,1.194127243,,19.22794907,18,3
21,42.43589744,7.358636659,664.1366224,127.6923077,2.003370787,66.32727273,0.162937061,0.766721044,,19.20408158,19,3
28,29.70695971,7.703612952,405.1233397,245.3846154,2.059550562,65.67272727,0.166104304,0.7862969,,18.49589419,19,3
36,25.03663004,7.895103096,199.2409867,296.1538462,2.124719101,64.87272727,0.169975379,0.789559543,,17.7101962,19,3
45,25.03663004,8.258579077,19.92409867,353.8461538,2.129213483,64.29090909,0.172790706,0.789559543,,17.51431263,19,3
